"数据收集不易，如使用数据请标注：“疫情数据由澎湃新闻美数课整理提供”。如有问题或建议请在澎湃美数课微信公众号后台联系（ID: Studio839）											",,,,,,,,,,,
链接：https://www.weibo.com/7397903361/IxupGgiZH?from=page_1005057397903361_profile&wvr=6&mod=weibotime,,,,,,,,,,,
数据截至：2020年3月6日,,,,,,,,,,,
,,,,,,,,,,,
ID,输出地,from-lat,from-long,输入地,to-lat,to-long,color,首例确诊时间,大洲,国内媒体报道,是否校对
70,意大利,41.87194,12.56738,突尼斯,33.886917,9.537499,3,3月2日,非洲,http://m.news.cctv.com/2020/03/03/ARTIFx4PPb9AmS8oi8Y8bmRm200303.shtml,是
72,意大利,41.87194,12.56738,约旦,30.585164,36.238414,3,3月2日,亚洲,http://m.news.cctv.com/2020/03/02/ARTIYD2wtuf2rPgUeHFFQRIf200302.shtml,是
69,伊朗,32.427908,53.688046,沙特阿拉伯,23.885942,45.079162,2,3月2日,亚洲,http://m.news.cctv.com/2020/03/03/ARTIt6Ac7zcRasPVcBBiSqqa200303.shtml,从伊朗途经巴林返回沙特
71,日本,36.204824,138.252924,印度尼西亚,-8.409518,115.188919,4,3月2日,亚洲,http://m.news.cctv.com/2020/03/02/ARTITvbbPcn3SwLIOh5yZYJA200302.shtml,是
68,法国,46.227636,2.213749,塞内加尔,14.716677,-17.467686,4,3月2日,非洲,http://m.news.cctv.com/2020/03/03/ARTIWxYXY9vVpo2njBikKEWJ200303.shtml,是
73,意大利,41.87194,12.56738,阿根廷,-34.603722,-58.381592,3,3月3日,美洲,http://m.news.cctv.com/2020/03/04/ARTIbm4x9SRXCIJVCFNOFEcv200304.shtml,是
74,意大利,41.87194,12.56738,乌克兰,48.379435,31.16558,3,3月3日,欧洲,http://m.news.cctv.com/2020/03/03/ARTINDJprf1pBAjuXEPEaBdW200303.shtml,从罗马尼亚到乌克兰切尔诺夫策州，此前他从意大利乘飞机到罗马尼亚
75,新加坡,1.352083,103.819836,智利,-33.447487,-70.673676,4,3月3日,美洲,http://m.news.cctv.com/2020/03/04/ARTIYdLAAiXAkdycJXSELfyD200304.shtml,是
77,意大利,41.87194,12.56738,斯洛文尼亚,46.056946,14.505751,3,3月4日,欧洲,http://www.chinanews.com/gj/2020/03-05/9114105.shtml,从摩洛哥途径意大利抵达斯洛文尼亚
78,伊朗,32.427908,53.688046,匈牙利,47.49801,19.03991,2,3月4日,欧洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtioLJQWgX3UixU7FT7DhCB200305&fromapp=cctvnews&version=803&version=803&allow_comment=1,是
76,德国,51.165689,10.451526,波兰,52.237049,21.017532,4,3月4日,欧洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiPM3E9ft2h0mAIF5cCYFI200304&fromapp=cctvnews&version=803&allow_comment=1,是
79,意大利,41.87194,12.56738,波黑,43.9165,17.6722,3,3月5日,欧洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiwqpPORRNS4Uu7LHqum22200305&fromapp=cctvnews&version=803&version=803&allow_comment=1,是
80,意大利,41.87194,12.56738,南非,-28.4793,24.6727,3,3月5日,非洲,http://world.people.com.cn/n1/2020/0305/c1002-31619150.html,是
81,希腊,39.074208,21.824312,巴勒斯坦,31.9474,35.2272,4,3月5日,亚洲,http://www.chinanews.com/gj/2020/03-06/9115485.shtml,是
83,意大利,41.87194,12.56738,梵蒂冈,41.90236,12.45332,3,3月6日,欧洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiBUS0mf6hsJECoQP6ANRz200306&fromapp=cctvnews&version=803&version=803&allow_comment=1,是
84,匈牙利,47.49801,19.03991,塞尔维亚,44.787197,20.457273,4,3月6日,欧洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiA7WItVs0t2vOAJBOU4Ph200306&fromapp=cctvnews&version=803&version=803&allow_comment=1,是
82,美国,37.09024,-95.712891,不丹,27.5141621,90.4336014,4,3月6日,亚洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiypFfTXwoV85KuSdC54dI200306&fromapp=cctvnews&version=803&version=803&allow_comment=1,美国人，从印度入境
85,法国,46.227636,2.213749,喀麦隆,7.3696,12.3445856,4,3月6日,非洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiUmwQkuP37pgHpCpoDuQg200306&fromapp=cctvnews&version=803&version=803&allow_comment=1,是
86,不明来源,,,多哥,,,,3月6日,非洲,http://m.news.cctv.com/2020/03/06/ARTIlDeE6niKjve31APyHbdw200306.shtml,
87,不明来源,,,列支敦士登公国,,,,3月6日,欧洲,http://m.news.cctv.com/2020/03/06/ARTI2a28k2sPIGhfgxbLRRaT200306.shtml,
88,不明来源,,,斯洛伐克,,,,3月6日,欧洲,http://m.news.cctv.com/2020/03/06/ARTIEEE8eOYjzSU70We4wYnF200306.shtml,
